code,DESCRIPCION,STOCK,location_id,Parent_location_id,CATEGORIA,COD.PROV,PRECIO,PROVEEDOR,code_ok,Codigo Categoria,Almacén,,categoria,alamcen,unidades,
1 - 0  9  1,"CODO en LATÓN Ø 32 2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-091,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  9  2,"CODO en LATÓN Ø 125 1 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-092,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  9  3,"CODO en LATÓN Ø 110 1 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-093,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  9  4,"CODO en LATÓN Ø 90 1 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-094,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  9  5,"CODO en LATÓN Ø 75 1 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-095,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  9  6,"CODO en LATÓN Ø 63 1 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-096,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  9  7,"CODO en LATÓN Ø 50 1 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-097,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  9  8,"CODO en LATÓN Ø 40 1 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-098,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 0  9  9,"CODO en LATÓN Ø 32 1 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-099,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  0  0,"CODO en LATÓN Ø 125 1 1/4"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-100,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  0  1,"CODO en LATÓN Ø 110 1 1/4"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-101,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  0  2,"CODO en LATÓN Ø 90 1 1/4"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-102,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  0  3,"CODO en LATÓN Ø 75 1 1/4"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-103,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  0  4,"CODO en LATÓN Ø 63 1 1/4"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-104,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  0  5,"CODO en LATÓN Ø 50 1 1/4"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-105,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  0  6,"CODO en LATÓN Ø 40 1 1/4"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-106,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  0  7,"CODO en LATÓN Ø 32 1 1/4"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-107,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  0  8,"CODO en LATÓN Ø 125 1"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-108,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  0  9,"CODO en LATÓN Ø 110 1"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-109,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  1  0,"CODO en LATÓN Ø 90 1"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-110,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  1  1,"CODO en LATÓN Ø 75 1"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-111,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  1  2,"CODO en LATÓN Ø 63 1"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-112,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  1  3,"CODO en LATÓN Ø 50 1"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-113,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  1  4,"CODO en LATÓN Ø 40 1"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-114,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  1  5,"CODO en LATÓN Ø 32 1"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-115,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  1  6,"CODO en LATÓN Ø 125 3/4"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-116,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  1  7,"CODO en LATÓN Ø 110 3/4"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-117,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  1  8,"CODO en LATÓN Ø 90 3/4"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-118,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  1  9,"CODO en LATÓN Ø 75 3/4"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-119,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  2  0,"CODO en LATÓN Ø 63 3/4"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-120,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  2  1,"CODO en LATÓN Ø 50 3/4"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-121,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  2  2,"CODO en LATÓN Ø 40 3/4"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-122,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  2  3,"CODO en LATÓN Ø 32 3/4"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-123,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  2  4,"CODO en LATÓN Ø 125 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-124,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  2  5,"CODO en LATÓN Ø 110 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-125,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  2  6,"CODO en LATÓN Ø 90 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-126,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  2  7,"CODO en LATÓN Ø 75 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-127,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  2  8,"CODO en LATÓN Ø 63 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-128,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  2  9,"CODO en LATÓN Ø 50 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-129,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  3  0,"CODO en LATÓN Ø 40 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-130,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  3  1,"CODO en LATÓN Ø 32 1/2"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-131,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  3  2,"CODO en LATÓN Ø 125 3/8"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-132,1,Fontanería,FONTANERIA,FONTANERIA,1,,
1 - 1  3  3,"CODO en LATÓN Ø 110 3/8"" H - H",,1    -       -        -  ,FONTANERIA,FONTANERIA,,,,1-133,1,Fontanería,FONTANERIA,FONTANERIA,1,,
